"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"BT1";"CR2032";1;"3V 2032";;;
2;"C1,C4,C12,C13,C14,C15,C16,C17,C28,C30";"TantalC_SizeC_EIA-6032_HandSoldering";10;"22uF";;;
3;"C2,C8,C9,C20,C22,C23,C24,C25,C26,C31";"C_1206_HandSoldering";10;"0.1uF";;;
4;"C3,C5,C10,C11,C18,C19,C27,C29,C33";"C_1206_HandSoldering";9;"10pF";;;
5;"C6,C7";"C_Disc_D3_P2.5";2;"22pF";;;
6;"C32,C34,C45,C21,C46";"C_1206_HandSoldering";5;"22uF";;;
7;"C35,C36,C37,C38,C39,C40,C41,C42,C43,C44";"C_0603_HandSoldering";10;"4.7uF";;;
8;"IC2";"TQFP-100_14x14mm_Pitch0.5mm";1;"ATMEGA2560-A";;;
9;"R10,R11,R14,R15,R18,R20,R22,R23,R26,R28,R31,R32,R35,R37,R39,R40,R51";"R_1206_HandSoldering";17;"1k";;;
10;"R12,R13,R16,R17,R19,R21,R24,R25,R27,R29,R33,R34,R36,R38,R41,R42,R52";"R_1206_HandSoldering";17;"100k";;;
11;"SW1";"SW_PUSH-12mm";1;"SILENCE";;;
12;"U1";"SOT-23_Handsoldering";1;"MAX6107EUR";;;
13;"U4";"SO-16-W";1;"DS3231";;;
14;"U6,U7,U8,U9,U10,U11,U12,U13,U14,U15";"SOIC-8_3.9x4.9mm_Pitch1.27mm";10;"AT25_EEPROM";;;
15;"U16";"TO-220";1;"LD1117S33TR";;;
16;"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17";"SOT-669_LFPAK";17;"PSMN9R1-30YL,115";;;
17;"M1,M2,M3,M4";"MountingHole_2.5mm";4;"MountingHole_2.5mm";;;
18;"ALIGN1,ALIGN2";"Measurement_Point_Round-TH_Small_0.3";2;"Measurement_Point_Round-TH_Small";;;
19;"D1";"LED_1206";1;"Green";;;
20;"D2";"LED_1206";1;"Yellow";;;
21;"D3";"LED_1206";1;"Red";;;
22;"D4,D5,D6,D7,D8,D9";"SMA_Handsoldering";6;"1N4004";;;
23;"IC1";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"ATTINY85-P";;;
24;"R1";"R_1206_HandSoldering";1;"100";;;
25;"R2,R3,R9";"R_1206_HandSoldering";3;"10k";;;
26;"R4,R6,R30,R43,R44,R45,R46,R47,R48,R49,R50";"R_1206_HandSoldering";11;"4.7k";;;
27;"R5,R7,R8";"R_1206_HandSoldering";3;"150";;;
28;"R53,R54,R55,R56,R57,R58,R59,R60,R61,R62,R63,R64,R65,R66,R67,R68,R69,R70,R71,R72";"R_1206_HandSoldering";20;"22";;;
29;"R73,R74,R75";"R_1206_HandSoldering";3;"16";;;
30;"P2";"Pin_Header_Straight_1x10";1;"ADC_AUX";;;
31;"P17";"LSM9DS1_ALL";1;"LSM9DS1";;;
32;"P19";"MicroSD_ALL";1;"MICRO_SD_CARD";;;
33;"P21";"Pin_Header_Straight_1x03";1;"DS18B20";;;
34;"P22";"Pin_Header_Straight_1x10";1;"RADIO";;;
35;"P23";"Pin_Header_Straight_1x05";1;"EXT_SENSORS";;;
36;"P26";"MS5607_ALL";1;"MS5607";;;
37;"P28";"Voltage_Booster_ALL";1;"5V_BOOST";;;
38;"U2,U3";"DIP-12_W7.62mm_LongPads_ALL";2;"BILEVEL_SHIFT";;;
39;"P1";"Pin_Header_Straight_1x05";1;"85_PRGM";;;
40;"P4";"Pin_Header_Straight_1x02";1;"2560_RESET";;;
41;"P5";"Pin_Header_Straight_1x02";1;"2560_SCK";;;
42;"P6";"Pin_Header_Straight_1x02";1;"2560_MOSI";;;
43;"P7";"Pin_Header_Straight_1x02";1;"2560_MISO";;;
44;"P8";"Pin_Header_Straight_1x02";1;"85_RESET";;;
45;"P9";"Pin_Header_Straight_1x05";1;"Geiger";;;
46;"P10";"Pin_Header_Straight_1x02";1;"SERIAL";;;
47;"P12";"Pin_Header_Straight_1x02";1;"Custom_HEAT";;;
48;"P13";"Pin_Header_Straight_1x02";1;"SHT31_HEAT";;;
49;"P14";"Pin_Header_Straight_1x02";1;"GPS_HEAT";;;
50;"P15";"Pin_Header_Straight_1x02";1;"UV_HEAT";;;
51;"P16";"Pin_Header_Straight_1x02";1;"TSL2561_HEAT";;;
52;"P18";"Pin_Header_Straight_1x03";1;"PIEZO";;;
53;"P20";"Pin_Header_Straight_1x02";1;"LANDING_LED";;;
54;"P27";"Pin_Header_Straight_1x05";1;"GPS";;;
55;"P3";"Pin_Header_Straight_1x04";1;"SENSOR_I2C";;;
56;"P11";"Pin_Header_Straight_1x01";1;"UV_ADC";;;
57;"Y1";"HC-49V";1;"16Mhz";;;
58;"U5";"FUEL_GAUGE_ALL";1;"FUEL_GAUGE";;;
